2016-02-25 18:50:58 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:59 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:59 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:59 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:59 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:59 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:59 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:59 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:59 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:59 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:59 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:59 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:50:59 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:50:59 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:50:59 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:50:59 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:51:00 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:51:00 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:51:00 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:51:00 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:51:00 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:51:00 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:51:00 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:51:00 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:51:00 UpdateJob.py[line:64] INFO 更新状态:4
2016-02-25 18:51:00 UpdateJob.py[line:86] INFO 接管进程;1035
2016-02-25 18:51:00 UpdateJob.py[line:106] INFO 待更新数目;10
2016-02-25 18:51:00 UpdateJob.py[line:53] INFO 更新代码:640100200099791
2016-02-25 18:51:00 UpdateJob.py[line:64] INFO 更新状态:4
